dateDePridiction,date,Acteul,PrixActuel,prixPredit,product_code
2020-07-31,2020-07-31,14.99,14.99,14.99,B007CRDSV2
2018-12-22,2018-12-22,15.95,15.95,14.88,B00GL64QG6
2020-03-04,2020-03-04,14.99,14.99,12.79,B079GFF4HZ
