Date,Prix Actuel,Prix Predit,Product Code
2022-12-15,14.4,14.399999999999997,0399590072
2019-02-21,16.68,15.495000000000001,0439339111
2021-11-28,6.98,6.98,0439358078
2022-04-10,6.98,6.98,0439358078
2021-09-25,3.69,3.69,0439567033
2022-01-01,1.57,1.5700000000000007,0439567033
2021-12-17,6.99,6.989999999999999,0439649501
2021-10-31,9.89,9.89,0441172717
2021-11-19,9.89,9.89,0441172717
2021-11-27,9.89,9.89,0441172717
2019-10-24,4.99,3.99,0448421658
2022-12-16,6.95,6.95,0451529065
2022-12-21,4.99,4.99,0451534034
2022-12-21,4.99,4.99,0451534034
2022-02-20,4.99,4.990000000000003,0451534255
2020-07-13,9.99,9.99,0465028020
2022-06-14,4.99,4.989999999999999,0486272982
2022-07-20,4.99,4.989999999999999,0486272982
2021-12-22,10.14,10.14,0486466159
2021-12-18,4.99,4.99,0486472035
2020-06-14,2.5,1.99,0486498549
2022-07-01,1.22,1.2200000000000006,0515134457
2021-08-17,5.99,5.99,0515157090
2021-12-16,25.31,25.31,0525426884
2020-09-01,6.52,6.52,0525436146
2022-09-03,7.19,7.19,0525436146
2021-01-14,13.98,13.98,0525509283
2021-04-12,13.87,13.87,0525509283
2021-08-31,13.69,13.69,0525509283
2021-12-20,15.16,15.16,0525509283
2022-01-18,10.32,10.32,0525509712
2020-02-12,16.99,16.989999999999995,0525520414
2019-01-16,12.98,12.98,0525555366
2020-12-15,15.69,15.69,0525560548
2023-01-24,8.35,8.35,0525563709
2021-12-08,3.4,3.4,0525580689
2021-11-29,14.01,23.99,0525633766
2021-11-28,13.72,13.72,0525708006
2022-01-28,29.99,29.989999999999995,0544174224
2020-08-17,7.31,7.309999999999997,0544609719
2021-09-15,14.98,14.980000000000002,0544609719
2021-12-12,7.51,7.51,0544641019
2022-10-12,6.32,6.319999999999999,0544772539
2022-11-08,1.16,1.1599999999999993,0544772539
2022-02-25,5.99,5.99,0545200814
2021-12-08,4.74,4.74,0545206944
2022-03-14,5.99,5.990000000000001,0545352223
2022-10-17,6.99,6.990000000000002,0545352223
2020-12-12,6.28,6.280000000000001,0545392551
2021-07-18,6.28,6.280000000000001,0545392551
2021-09-06,6.28,6.280000000000001,0545392551
2021-10-03,6.28,6.280000000000001,0545392551
2021-05-16,9.89,9.89,0545615216
2021-07-19,6.41,6.41,0545880831
2021-07-25,7.29,7.289999999999999,0545880831
2021-03-25,6.7,6.7,0545935202
2021-07-22,6.69,6.69,0545935202
2022-01-12,5.84,5.84,0545935202
2022-07-18,11.49,11.49,0553062182
2022-07-23,10.99,10.99,0553062182
2019-08-17,1.6,1.600000000000001,0553213652
2021-01-02,13.95,10.56,0553382403
2022-12-03,16.89,16.89,0553496395
2018-06-27,5.92,5.919999999999999,0553508415
2020-09-06,1.52,1.5200000000000014,0553572989
2021-12-30,19.5,19.5,0593084640
2022-07-13,4.99,4.99,0593095170
2022-07-29,8.99,9.99,0593098242
2022-12-13,10.43,10.429999999999998,0593160304
2022-12-16,10.43,10.429999999999998,0593160304
2021-11-11,15.99,15.99,0593196643
2022-12-07,10.66,10.66,0593235592
2022-12-20,15.42,15.42,059330151X
2022-02-25,21.99,21.99,0593311647
2023-02-04,15.49,15.49,0593321200
2023-02-27,15.49,15.49,0593321200
2023-01-22,14.98,18.9,059335608X
2022-09-17,12.79,12.79,0609810340
2022-09-02,1.36,1.3600000000000012,0618711651
2021-08-19,11.29,11.290000000000001,0618871713
2022-08-05,12.59,12.590000000000002,0618871713
2022-03-30,9.89,9.89,0634003119
2021-09-14,9.89,9.889999999999999,0634003208
2022-12-16,10.99,10.99,0670063428
2021-10-20,3.59,3.59,0671449028
2021-11-04,3.59,3.59,0671449028
2022-07-30,3.59,3.59,0671449028
2022-09-10,3.97,3.97,0671449028
2021-03-20,5.39,5.39,0671449044
2021-06-12,2.98,2.9800000000000004,0679882804
2023-03-08,3.13,3.1300000000000003,0679882804
2022-04-21,2.98,2.9800000000000004,0679890483
2021-01-14,7.99,7.99,0688152201
2022-02-20,8.08,8.08,0689711735
2021-03-12,4.99,4.99,0689807481
2022-09-05,28.49,28.49,0692916164
2019-05-29,8.15,8.150000000000002,0735212201
2021-11-27,14.29,14.29,073522935X
2022-05-01,12.66,12.66,073522935X
2021-09-16,12.95,12.95,0735611319
2022-07-07,4.24,4.24,0736426701
2022-10-08,4.99,4.99,0736433511
2022-03-16,2.76,2.76,0736438009
2022-10-08,4.99,4.99,073644016X
2021-10-30,8.59,8.59,0740785397
2021-12-12,18.69,18.69,0740785508
2023-03-06,13.99,13.99,0743225503
2022-06-24,18.91,18.909999999999997,0751512257
2023-02-06,11.38,11.38,0756407125
2022-01-05,7.39,7.39,0756407915
2022-02-26,7.39,7.39,0756407915
2022-09-14,8.99,8.99,0757900615
2022-09-27,8.99,8.99,0757900615
2021-02-11,6.95,6.950000000000001,0761119752
2022-09-10,5.96,5.96,0761137998
2020-04-09,10.04,10.76,0761166602
2022-06-18,9.79,9.79,0761169253
2022-05-29,8.55,8.55,0761189173
2020-05-04,9.99,9.99,0761189513
2022-06-04,13.49,13.490000000000002,0761189513
2021-09-06,5.95,5.950000000000001,0761193081
2021-09-18,5.95,5.950000000000001,0761193081
2022-12-21,15.99,16.69,0761193278
2020-04-26,6.59,6.59,0761456864
2020-11-04,9.9,9.899999999999999,0762492279
2020-07-04,5.0,5.99,0763649511
2021-05-02,6.99,6.99,0763663212
2022-03-10,10.29,10.29,0763678384
2021-09-23,7.99,7.990000000000001,0763688932
2019-08-23,13.22,13.219999999999997,0764166115
2022-04-19,23.26,23.26,076532637X
2022-07-13,17.44,17.439999999999998,076532637X
2021-10-06,8.19,8.19,0765365278
2021-06-17,8.99,8.99,0765376466
2021-08-04,4.0,4.000000000000002,0765378388
2022-11-03,10.59,10.59,0765382032
2023-01-18,10.59,10.59,0765382032
2021-06-30,8.49,8.49,076539118X
2021-01-31,6.65,6.650000000000001,0765397536
2021-01-19,10.59,10.59,076790205X
2021-12-06,2.99,2.9900000000000007,0769646794
2021-12-23,2.99,2.9900000000000007,0769646794
2021-01-24,2.99,2.99,0769646891
2021-10-07,2.99,2.99,0769646891
2021-12-06,2.99,2.99,0769646891
2021-12-14,2.99,2.9900000000000007,0769647197
2022-01-26,2.99,2.9900000000000007,0769647197
2022-02-11,2.99,2.9900000000000007,0769647197
2022-03-04,2.99,2.9900000000000007,0769647197
2019-03-28,2.99,2.99,0769677436
2022-09-06,17.31,17.309999999999995,0785241140
2022-07-11,13.29,13.29,0786965592
2022-09-04,13.29,13.29,0786965592
2022-11-28,17.94,17.94,0786965592
2022-12-11,17.99,17.990000000000002,0786965592
2022-12-20,17.99,17.990000000000002,0786965592
2020-11-23,29.71,29.710000000000008,0786965819
2019-02-04,21.13,21.13,0786966254
2020-02-13,28.99,28.99,0786966254
2020-07-09,28.99,28.99,0786966254
2020-12-21,24.95,24.95,078696698X
2021-07-31,35.17,35.17,078696698X
2021-12-10,13.56,13.560000000000002,0789328755
2022-03-07,12.1,14.36,0794848907
2019-10-06,3.89,3.8900000000000006,0800788036
2022-02-18,4.99,4.99,0805092447
2021-03-05,14.4,14.4,0807010294
2019-12-11,11.55,11.55,0810989956
2020-06-10,14.13,14.13,0811843513
